ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,dst_pkts,src_ip_bytes,dst_ip_bytes,label,type
1610000285.1485147,192.168.1.10,65351,10.0.0.1,443,tcp,http,0.7374468045682736,464,139,SF,0,14,11,1315,1081,0,normal
1610000293.789379,192.168.1.10,2196,10.0.0.1,1883,udp,ssl,1.0750356703285158,434,297,SF,0,14,8,983,1019,0,normal
1610000302.430243,192.168.1.5,59256,8.8.8.8,443,tcp,mqtt,1.8277883598971978,420,252,SF,0,7,8,732,716,0,normal
1610000311.0711071,192.168.1.10,28938,8.8.8.8,9999,tcp,ssl,0.001,99999,487,SF,0,13,6,571,568,1,ddos
1610000319.7119713,192.168.1.5,21925,8.8.8.8,443,tcp,ssl,0.7381584386925971,267,351,SF,0,13,13,1265,829,0,normal
1610000328.3528352,192.168.1.5,41799,8.8.8.8,9999,udp,http,0.001,99999,328,SF,0,5,10,1325,778,1,ddos
1610000336.9936993,192.168.1.5,35433,10.0.0.1,1883,tcp,http,0.7056373935418628,151,188,SF,0,6,7,793,884,0,normal
1610000345.6345634,192.168.1.5,50647,8.8.8.8,8888,tcp,ssl,0.001,10,121,SF,0,7,7,669,1280,1,dos
1610000354.2754276,192.168.1.5,20348,10.0.0.1,443,tcp,http,0.44379541305124026,399,411,SF,0,8,5,751,600,0,normal
1610000362.9162917,192.168.1.10,9762,10.0.0.1,443,tcp,ssl,1.902720476512972,450,401,SF,0,9,6,843,1421,0,normal
1610000371.5571556,192.168.1.10,38518,10.0.0.1,80,tcp,http,1.8732563058976706,161,219,SF,0,9,9,506,1094,0,normal
1610000380.1980197,192.168.1.10,45581,10.0.0.1,8888,tcp,http,0.001,10,283,SF,0,14,13,1464,589,1,dos
1610000388.8388839,192.168.1.10,25078,8.8.8.8,9999,tcp,ssl,0.001,99999,305,SF,0,9,7,1217,943,1,ddos
1610000397.479748,192.168.1.10,30733,10.0.0.1,80,udp,mqtt,0.36099939080370536,452,189,SF,0,7,11,1468,1379,0,normal
1610000406.1206121,192.168.1.5,44809,8.8.8.8,443,tcp,http,1.381887494171918,429,215,SF,0,10,10,519,549,0,normal
1610000414.761476,192.168.1.10,21131,10.0.0.1,6666,tcp,ssl,0.0001,256,262,SF,0,999,7,1447,1190,1,scanning
1610000423.4023402,192.168.1.10,64293,10.0.0.1,80,tcp,mqtt,0.19460180355104753,246,499,SF,0,13,8,1037,1388,0,normal
1610000432.0432043,192.168.1.5,1387,10.0.0.1,80,tcp,http,1.6673039336967188,477,203,SF,0,6,9,588,556,0,normal
1610000440.6840684,192.168.1.10,11382,8.8.8.8,443,tcp,http,0.7182607271748888,222,247,SF,0,5,6,999,949,0,normal
1610000449.3249326,192.168.1.5,37101,10.0.0.1,80,tcp,ssl,0.3061925667641843,386,370,SF,0,11,12,839,946,0,normal
1610000457.9657965,192.168.1.10,50721,10.0.0.1,80,tcp,http,1.6844175066382279,281,209,SF,0,13,11,555,1052,0,normal
1610000466.6066606,192.168.1.5,4264,10.0.0.1,9999,tcp,ssl,0.001,99999,299,SF,0,14,13,1209,1478,1,ddos
1610000475.2475247,192.168.1.10,7689,10.0.0.1,443,tcp,ssl,1.3991410558207396,289,379,SF,0,13,12,1266,831,0,normal
1610000483.8883889,192.168.1.10,46713,8.8.8.8,8888,udp,http,0.001,10,324,SF,0,7,11,954,735,1,dos
1610000492.529253,192.168.1.5,2960,8.8.8.8,443,tcp,mqtt,1.029529565054207,405,179,SF,0,5,13,727,534,0,normal
1610000501.170117,192.168.1.5,47760,10.0.0.1,443,tcp,http,0.34330734541491564,350,350,SF,0,13,14,561,723,0,normal
1610000509.810981,192.168.1.5,26562,10.0.0.1,443,tcp,mqtt,0.21655817880072709,414,319,SF,0,11,9,740,1448,0,normal
1610000518.4518452,192.168.1.5,44989,8.8.8.8,8888,udp,http,0.001,10,399,SF,0,12,7,883,1088,1,dos
1610000527.0927093,192.168.1.5,13022,8.8.8.8,8888,udp,mqtt,0.001,10,241,SF,0,10,10,945,1495,1,dos
1610000535.7335734,192.168.1.5,1906,8.8.8.8,9999,udp,http,0.001,99999,172,SF,0,14,13,1303,1460,1,ddos
1610000544.3744373,192.168.1.5,21248,10.0.0.1,443,tcp,mqtt,0.12754813386399996,156,465,SF,0,10,10,1287,1300,0,normal
1610000553.0153015,192.168.1.5,40715,8.8.8.8,1883,tcp,mqtt,0.9431502728678142,382,304,SF,0,8,7,993,1192,0,normal
1610000561.6561656,192.168.1.10,59238,10.0.0.1,1883,tcp,http,0.43907455072181234,157,321,SF,0,6,6,901,503,0,normal
1610000570.2970297,192.168.1.10,54787,8.8.8.8,8888,tcp,http,0.001,10,259,SF,0,5,9,955,619,1,dos
1610000578.9378939,192.168.1.5,61353,8.8.8.8,8888,tcp,ssl,0.001,10,179,SF,0,10,12,1038,1269,1,dos
1610000587.5787578,192.168.1.10,47500,10.0.0.1,1883,tcp,mqtt,0.7668311649963329,285,214,SF,0,13,12,1400,1019,0,normal
1610000596.219622,192.168.1.10,59233,8.8.8.8,80,tcp,http,0.7485457856804089,379,124,SF,0,14,5,850,1091,0,normal
1610000604.860486,192.168.1.10,31849,10.0.0.1,9999,udp,ssl,0.001,99999,276,SF,0,14,7,929,777,1,ddos
1610000613.5013502,192.168.1.10,6228,8.8.8.8,443,tcp,http,1.4657479731799439,161,378,SF,0,6,9,796,1213,0,normal
1610000622.1422143,192.168.1.5,29909,10.0.0.1,443,udp,mqtt,1.0763372525150976,180,392,SF,0,5,5,584,1084,0,normal
1610000630.7830782,192.168.1.10,41080,8.8.8.8,6666,tcp,http,0.0001,345,319,SF,0,999,10,1063,1390,1,scanning
1610000639.4239423,192.168.1.5,4227,8.8.8.8,443,tcp,http,1.2783469998857409,348,102,SF,0,11,8,886,1257,0,normal
1610000648.0648065,192.168.1.10,61265,10.0.0.1,1883,tcp,ssl,0.14669325798759966,456,415,SF,0,5,13,813,954,0,normal
1610000656.7056706,192.168.1.10,3268,10.0.0.1,80,tcp,http,0.2525027219979704,472,414,SF,0,13,6,845,731,0,normal
1610000665.3465347,192.168.1.10,33810,10.0.0.1,9999,tcp,ssl,0.001,99999,132,SF,0,13,14,1476,880,1,ddos
1610000673.9873986,192.168.1.5,50817,10.0.0.1,80,tcp,mqtt,0.792490831811796,335,281,SF,0,7,9,1010,708,0,normal
1610000682.6282628,192.168.1.10,4107,8.8.8.8,1883,tcp,mqtt,99.0,50000,138,SF,0,6,9,1262,1297,1,injection
1610000691.269127,192.168.1.5,22608,8.8.8.8,8888,udp,http,0.001,10,252,SF,0,13,10,977,574,1,dos
1610000699.909991,192.168.1.10,9545,8.8.8.8,443,tcp,ssl,99.0,50000,162,SF,0,7,9,1226,1438,1,injection
1610000708.5508552,192.168.1.5,51041,8.8.8.8,443,tcp,mqtt,1.8409963002300105,422,188,SF,0,6,14,1420,682,0,normal
1610000717.191719,192.168.1.10,34565,8.8.8.8,9999,tcp,http,0.001,99999,202,SF,0,8,14,1207,1282,1,ddos
1610000725.8325832,192.168.1.5,30087,8.8.8.8,8888,udp,http,0.001,10,440,SF,0,11,13,619,826,1,dos
1610000734.4734473,192.168.1.5,5756,10.0.0.1,443,tcp,http,1.2897207524683716,489,286,SF,0,8,5,924,560,0,normal
1610000743.1143115,192.168.1.10,60722,8.8.8.8,80,udp,http,1.0916326675259822,270,258,SF,0,12,12,702,1334,0,normal
1610000751.7551756,192.168.1.5,61706,8.8.8.8,1883,tcp,http,1.1942716626680048,254,148,SF,0,9,10,1457,1162,0,normal
1610000760.3960395,192.168.1.10,53694,10.0.0.1,80,tcp,ssl,0.9283014812765988,129,321,SF,0,6,13,1308,1294,0,normal
1610000769.0369036,192.168.1.10,28542,8.8.8.8,443,tcp,http,0.9876216907710461,198,458,SF,0,14,14,729,593,0,normal
1610000777.6777678,192.168.1.10,40587,8.8.8.8,80,tcp,http,1.579715356109546,245,287,SF,0,8,11,1477,1443,0,normal
1610000786.318632,192.168.1.10,40776,8.8.8.8,8888,tcp,http,0.001,10,352,SF,0,11,7,788,1456,1,dos
1610000794.959496,192.168.1.10,30721,10.0.0.1,9999,tcp,http,0.001,99999,464,SF,0,5,12,1239,1027,1,ddos
1610000803.6003602,192.168.1.10,3591,10.0.0.1,9999,tcp,http,0.001,99999,291,SF,0,11,14,537,1153,1,ddos
1610000812.241224,192.168.1.10,17145,8.8.8.8,8888,udp,http,0.001,10,343,SF,0,7,7,645,1447,1,dos
1610000820.8820882,192.168.1.10,2698,10.0.0.1,6666,tcp,http,0.0001,289,170,SF,0,999,7,937,1097,1,scanning
1610000829.5229523,192.168.1.10,11899,8.8.8.8,443,tcp,mqtt,0.463977156143382,376,446,SF,0,7,8,548,1381,0,normal
1610000838.1638165,192.168.1.10,45364,8.8.8.8,443,tcp,mqtt,0.1389414430804577,495,176,SF,0,12,7,816,1415,0,normal
1610000846.8046806,192.168.1.10,1763,8.8.8.8,1883,tcp,http,0.6126768575791737,356,320,SF,0,8,10,1027,1277,0,normal
1610000855.4455445,192.168.1.5,2569,10.0.0.1,80,tcp,ssl,0.18828814732825444,302,442,SF,0,5,11,713,1069,0,normal
1610000864.0864086,192.168.1.5,30164,8.8.8.8,443,tcp,http,0.3939017401726034,124,363,SF,0,5,7,1096,1296,0,normal
1610000872.7272727,192.168.1.10,60627,8.8.8.8,80,tcp,ssl,0.7890959331284678,274,368,SF,0,8,7,1253,1143,0,normal
1610000881.368137,192.168.1.10,10351,8.8.8.8,8888,tcp,ssl,0.001,10,381,SF,0,13,11,1311,978,1,dos
1610000890.009001,192.168.1.10,6151,8.8.8.8,443,tcp,ssl,1.5306174752683614,394,493,SF,0,9,14,1042,705,0,normal
1610000898.649865,192.168.1.10,24355,8.8.8.8,80,udp,ssl,1.611619126162139,382,320,SF,0,9,13,594,888,0,normal
1610000907.290729,192.168.1.10,24028,10.0.0.1,6666,udp,ssl,0.0001,192,190,SF,0,999,7,1166,537,1,scanning
1610000915.9315932,192.168.1.10,42857,8.8.8.8,443,tcp,mqtt,1.9708653608111117,149,155,SF,0,9,10,999,1079,0,normal
1610000924.5724573,192.168.1.10,54731,10.0.0.1,1883,udp,http,1.3900884381346283,318,487,SF,0,11,9,1180,702,0,normal
1610000933.2133214,192.168.1.10,11516,8.8.8.8,80,tcp,mqtt,1.513071321163423,255,205,SF,0,7,12,1125,873,0,normal
1610000941.8541853,192.168.1.5,55821,10.0.0.1,8888,tcp,mqtt,0.001,10,386,SF,0,9,13,1496,972,1,dos
1610000950.4950495,192.168.1.10,59119,8.8.8.8,443,tcp,http,1.6911314833612554,330,372,SF,0,7,12,1270,1023,0,normal
1610000959.1359136,192.168.1.5,14773,8.8.8.8,80,tcp,mqtt,1.8955881562408616,437,491,SF,0,5,5,1106,551,0,normal
1610000967.7767777,192.168.1.10,64241,10.0.0.1,80,udp,http,0.5489893164902043,306,392,SF,0,10,11,1173,850,0,normal
1610000976.4176419,192.168.1.10,24532,10.0.0.1,80,tcp,http,99.0,50000,480,SF,0,7,12,973,1342,1,injection
1610000985.0585058,192.168.1.5,10069,8.8.8.8,1883,tcp,http,1.5191879924603295,314,146,SF,0,6,9,1227,1242,0,normal
1610000993.69937,192.168.1.10,21140,10.0.0.1,80,tcp,http,0.6798214264381431,283,406,SF,0,7,8,637,1491,0,normal
1610001002.340234,192.168.1.5,19691,10.0.0.1,80,tcp,ssl,1.0025171048873631,390,213,SF,0,9,11,556,1342,0,normal
1610001010.9810982,192.168.1.10,10545,8.8.8.8,9999,udp,ssl,0.001,99999,157,SF,0,9,10,1424,570,1,ddos
1610001019.6219623,192.168.1.10,9693,8.8.8.8,80,tcp,mqtt,0.42888012752306504,166,143,SF,0,13,6,665,1387,0,normal
1610001028.2628262,192.168.1.5,28326,8.8.8.8,1883,tcp,http,0.21698399492967,346,453,SF,0,13,13,704,1333,0,normal
1610001036.9036903,192.168.1.10,12307,8.8.8.8,443,tcp,http,1.1643144320360581,115,330,SF,0,6,7,1112,820,0,normal
1610001045.5445545,192.168.1.5,31959,8.8.8.8,443,tcp,http,1.2879995048268118,434,366,SF,0,10,5,1498,1100,0,normal
1610001054.1854186,192.168.1.10,8022,10.0.0.1,80,tcp,http,1.8406272085240927,310,111,SF,0,13,7,1382,1340,0,normal
1610001062.8262827,192.168.1.5,29830,8.8.8.8,443,tcp,ssl,1.1301511401848428,173,493,SF,0,13,5,1273,545,0,normal
1610001071.4671466,192.168.1.5,32648,10.0.0.1,80,tcp,ssl,0.5951616045353898,472,304,SF,0,10,14,641,1127,0,normal
1610001080.1080108,192.168.1.10,14464,8.8.8.8,443,udp,ssl,0.21299973852312573,404,153,SF,0,5,11,1233,1367,0,normal
1610001088.748875,192.168.1.10,46489,8.8.8.8,1883,tcp,mqtt,1.7814108002265898,117,133,SF,0,5,10,1242,848,0,normal
1610001097.389739,192.168.1.5,47525,10.0.0.1,80,udp,http,1.0098303492033014,121,347,SF,0,13,12,1252,765,0,normal
1610001106.0306032,192.168.1.10,22821,8.8.8.8,8888,udp,ssl,0.001,10,498,SF,0,7,8,1399,1102,1,dos
1610001114.671467,192.168.1.10,2293,10.0.0.1,80,udp,ssl,0.12783376233161906,218,235,SF,0,9,10,1440,518,0,normal
1610001123.3123312,192.168.1.10,8892,10.0.0.1,1883,tcp,http,1.0274639530623935,115,329,SF,0,10,7,1487,1350,0,normal
1610001131.9531953,192.168.1.5,31275,10.0.0.1,1883,udp,ssl,0.7188729840163472,283,455,SF,0,5,8,1306,1128,0,normal
1610001140.5940595,192.168.1.5,13397,8.8.8.8,443,tcp,http,0.157629417966271,102,377,SF,0,5,10,1213,1128,0,normal
1610001149.2349236,192.168.1.5,20011,8.8.8.8,80,tcp,http,1.573778333437671,222,360,SF,0,8,9,553,775,0,normal
1610001157.8757875,192.168.1.5,39753,8.8.8.8,443,tcp,ssl,1.0745131404978652,342,119,SF,0,10,6,653,912,0,normal
1610001166.5166516,192.168.1.5,16758,8.8.8.8,9999,tcp,mqtt,0.001,99999,314,SF,0,12,13,725,1128,1,ddos
1610001175.1575158,192.168.1.5,43453,8.8.8.8,80,udp,http,1.6310171194240586,204,331,SF,0,11,6,784,1462,0,normal
1610001183.79838,192.168.1.5,42361,8.8.8.8,1883,tcp,mqtt,0.9491545585153163,202,217,SF,0,6,12,561,777,0,normal
1610001192.439244,192.168.1.5,41349,10.0.0.1,1883,tcp,ssl,0.10664611709977248,307,148,SF,0,8,9,891,1195,0,normal
1610001201.080108,192.168.1.5,19088,8.8.8.8,8888,tcp,http,0.001,10,218,SF,0,9,11,1178,969,1,dos
1610001209.720972,192.168.1.10,63538,8.8.8.8,8888,udp,http,0.001,10,246,SF,0,12,10,901,976,1,dos
1610001218.3618362,192.168.1.5,9457,8.8.8.8,443,tcp,ssl,1.6780934919203487,412,317,SF,0,11,6,1212,1034,0,normal
1610001227.0027003,192.168.1.10,49445,8.8.8.8,1883,udp,mqtt,1.6511892297544188,321,327,SF,0,8,8,1289,1435,0,normal
1610001235.6435645,192.168.1.10,10135,10.0.0.1,443,tcp,ssl,0.4085104695853895,146,497,SF,0,12,13,1157,874,0,normal
1610001244.2844284,192.168.1.10,39474,10.0.0.1,1883,tcp,ssl,1.0006050943080755,403,362,SF,0,12,11,1176,1229,0,normal
1610001252.9252925,192.168.1.5,64777,10.0.0.1,8888,tcp,ssl,0.001,10,435,SF,0,8,5,866,1442,1,dos
1610001261.5661566,192.168.1.5,49271,10.0.0.1,1883,tcp,mqtt,0.7736481784880778,186,109,SF,0,6,8,660,1128,0,normal
1610001270.2070208,192.168.1.5,16071,10.0.0.1,1883,tcp,http,1.488859802402278,325,462,SF,0,7,14,1443,1202,0,normal
1610001278.847885,192.168.1.5,9108,8.8.8.8,80,tcp,http,0.5504319932096795,219,249,SF,0,9,7,1248,1353,0,normal
1610001287.4887488,192.168.1.10,22775,10.0.0.1,80,tcp,ssl,0.32254306841038893,347,317,SF,0,5,5,547,1433,0,normal
1610001296.129613,192.168.1.5,17477,10.0.0.1,1883,tcp,ssl,1.063534746776517,452,232,SF,0,9,9,885,1148,0,normal
1610001304.770477,192.168.1.5,21332,8.8.8.8,1883,tcp,mqtt,1.120274130309901,243,303,SF,0,8,13,748,1480,0,normal
1610001313.4113412,192.168.1.5,39992,8.8.8.8,443,tcp,ssl,1.3840749695102004,332,123,SF,0,9,8,525,1111,0,normal
1610001322.0522053,192.168.1.5,31101,10.0.0.1,80,tcp,mqtt,1.5423617189249224,449,242,SF,0,5,6,644,1189,0,normal
1610001330.6930692,192.168.1.5,44070,8.8.8.8,80,tcp,mqtt,1.422038109402845,102,443,SF,0,14,11,759,1200,0,normal
1610001339.3339334,192.168.1.10,35799,8.8.8.8,9999,tcp,mqtt,0.001,99999,315,SF,0,11,12,508,995,1,ddos
1610001347.9747975,192.168.1.5,59168,10.0.0.1,1883,udp,ssl,0.5235222821358757,416,333,SF,0,14,6,999,1239,0,normal
1610001356.6156616,192.168.1.10,49594,8.8.8.8,1883,tcp,http,1.1825568178113428,357,154,SF,0,13,14,765,1363,0,normal
1610001365.2565258,192.168.1.5,47121,10.0.0.1,9999,tcp,mqtt,0.001,99999,453,SF,0,9,13,740,851,1,ddos
1610001373.8973897,192.168.1.10,25527,10.0.0.1,443,tcp,http,1.9280134783031202,117,270,SF,0,7,14,824,625,0,normal
1610001382.5382538,192.168.1.5,3803,8.8.8.8,1883,tcp,mqtt,0.9365310944881652,421,489,SF,0,13,12,1433,725,0,normal
1610001391.179118,192.168.1.5,22328,10.0.0.1,80,tcp,ssl,1.9234564729537578,395,272,SF,0,10,8,1316,1328,0,normal
1610001399.819982,192.168.1.10,1779,10.0.0.1,6666,tcp,mqtt,0.0001,230,380,SF,0,999,8,1051,1418,1,scanning
1610001408.4608462,192.168.1.10,40287,8.8.8.8,1883,tcp,mqtt,1.4650813379305283,116,243,SF,0,14,9,676,1037,0,normal
1610001417.10171,192.168.1.10,43979,8.8.8.8,8888,tcp,http,0.001,10,346,SF,0,14,5,969,617,1,dos
1610001425.7425742,192.168.1.5,56111,8.8.8.8,80,tcp,ssl,0.942418455085644,169,128,SF,0,7,11,988,963,0,normal
1610001434.3834383,192.168.1.10,43305,8.8.8.8,443,tcp,mqtt,1.1004415562849732,284,419,SF,0,5,8,1030,729,0,normal
1610001443.0243025,192.168.1.5,52506,10.0.0.1,443,tcp,ssl,0.6579028195612111,148,484,SF,0,8,5,536,740,0,normal
1610001451.6651666,192.168.1.5,55881,8.8.8.8,1883,tcp,http,1.8185688856930868,412,223,SF,0,8,8,724,502,0,normal
1610001460.3060305,192.168.1.10,58477,8.8.8.8,443,udp,ssl,1.6092282450041961,411,272,SF,0,7,8,1316,992,0,normal
1610001468.9468946,192.168.1.10,18424,10.0.0.1,1883,tcp,ssl,1.6226521232175835,175,333,SF,0,9,5,741,693,0,normal
1610001477.5877588,192.168.1.5,41139,10.0.0.1,80,tcp,http,0.9229918313539285,376,464,SF,0,13,13,889,663,0,normal
1610001486.228623,192.168.1.5,15273,10.0.0.1,80,tcp,mqtt,0.23506900166401246,115,125,SF,0,13,12,819,1340,0,normal
1610001494.869487,192.168.1.10,48671,10.0.0.1,80,udp,mqtt,1.3978469040599293,105,184,SF,0,12,13,1418,1390,0,normal
1610001503.510351,192.168.1.10,47849,8.8.8.8,1883,tcp,ssl,0.8113858095456823,133,149,SF,0,14,11,1473,975,0,normal
1610001512.151215,192.168.1.10,45849,8.8.8.8,443,tcp,mqtt,1.7538175936565683,158,254,SF,0,10,9,1042,715,0,normal
1610001520.7920792,192.168.1.5,25624,10.0.0.1,80,tcp,http,1.5826430330547407,166,199,SF,0,8,11,1064,996,0,normal
1610001529.4329433,192.168.1.5,38730,10.0.0.1,1883,tcp,ssl,0.37612346978053657,354,179,SF,0,6,6,532,928,0,normal
1610001538.0738075,192.168.1.5,20246,10.0.0.1,443,tcp,ssl,1.243259888023177,396,128,SF,0,14,14,1028,1487,0,normal
1610001546.7146714,192.168.1.5,34529,10.0.0.1,443,tcp,mqtt,1.4152064592616502,256,234,SF,0,7,11,1076,1466,0,normal
1610001555.3555355,192.168.1.5,39992,8.8.8.8,443,tcp,mqtt,1.1794614016662868,131,161,SF,0,13,8,1266,589,0,normal
1610001563.9963996,192.168.1.5,42163,10.0.0.1,1883,tcp,mqtt,1.0766801346949963,109,170,SF,0,5,9,1471,1313,0,normal
1610001572.6372638,192.168.1.10,50407,8.8.8.8,1883,tcp,ssl,0.5329398425112885,291,482,SF,0,11,11,1078,820,0,normal
1610001581.278128,192.168.1.5,52093,10.0.0.1,1883,tcp,mqtt,0.5482230044002503,474,389,SF,0,14,6,672,1116,0,normal
1610001589.9189918,192.168.1.5,42326,8.8.8.8,80,tcp,ssl,1.5592154634208537,318,232,SF,0,10,9,727,1376,0,normal
1610001598.559856,192.168.1.5,30172,8.8.8.8,9999,tcp,mqtt,0.001,99999,216,SF,0,6,6,587,1116,1,ddos
1610001607.20072,192.168.1.10,23326,8.8.8.8,9999,tcp,ssl,0.001,99999,107,SF,0,9,14,732,1430,1,ddos
1610001615.8415842,192.168.1.5,3647,8.8.8.8,80,udp,ssl,1.1009175994243643,119,299,SF,0,6,10,1251,1349,0,normal
1610001624.4824483,192.168.1.5,9670,10.0.0.1,80,udp,ssl,1.8788230395311885,255,142,SF,0,13,14,1217,1225,0,normal
1610001633.1233122,192.168.1.10,14567,8.8.8.8,6666,tcp,mqtt,0.0001,126,279,SF,0,999,12,536,704,1,scanning
1610001641.7641764,192.168.1.5,29984,10.0.0.1,80,tcp,mqtt,1.3606206737070266,252,429,SF,0,10,11,847,899,0,normal
1610001650.4050405,192.168.1.5,63700,8.8.8.8,1883,tcp,http,0.8832886693982602,479,356,SF,0,8,9,782,1058,0,normal
1610001659.0459046,192.168.1.5,23809,8.8.8.8,1883,tcp,ssl,1.0026632262653195,384,137,SF,0,5,7,647,614,0,normal
1610001667.6867688,192.168.1.5,13841,10.0.0.1,9999,tcp,mqtt,0.001,99999,362,SF,0,7,8,962,1360,1,ddos
1610001676.3276327,192.168.1.5,32430,10.0.0.1,80,tcp,http,0.28854521558381396,349,436,SF,0,9,6,1437,1288,0,normal
1610001684.9684968,192.168.1.10,24480,8.8.8.8,80,tcp,http,1.1996504472740568,498,283,SF,0,7,10,1420,892,0,normal
1610001693.609361,192.168.1.10,52452,8.8.8.8,1883,tcp,mqtt,99.0,50000,379,SF,0,12,12,607,1488,1,injection
1610001702.250225,192.168.1.10,24801,10.0.0.1,1883,udp,ssl,0.5973563836855051,385,390,SF,0,6,12,569,1215,0,normal
1610001710.8910892,192.168.1.5,58963,8.8.8.8,9999,udp,http,0.001,99999,300,SF,0,6,13,1190,763,1,ddos
1610001719.531953,192.168.1.5,54050,10.0.0.1,80,tcp,http,1.1540699573762634,387,141,SF,0,5,9,609,829,0,normal
1610001728.1728172,192.168.1.5,21938,10.0.0.1,8888,tcp,ssl,0.001,10,399,SF,0,5,14,961,981,1,dos
1610001736.8136814,192.168.1.10,30577,10.0.0.1,80,tcp,mqtt,0.36339933255790646,170,103,SF,0,8,10,666,674,0,normal
